id,hotel,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
1,Resort Hotel,342,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,0,Transient,0,0,0,Booking-Changed
2,Resort Hotel,737,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,0,Transient,0,0,0,Booking-Changed
3,Resort Hotel,7,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,0,Transient,75,0,0,Check-Out
4,Resort Hotel,13,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,0,Transient,75,0,0,Check-Out
5,Resort Hotel,14,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,0,Transient,98,0,1,Check-Out
6,Resort Hotel,14,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,0,Transient,98,0,1,Check-Out
7,Resort Hotel,0,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,0,Transient,107,0,0,Check-Out
8,Resort Hotel,9,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,0,Transient,103,0,1,Check-Out
9,Resort Hotel,85,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,0,Transient,82,0,1,Canceled
10,Resort Hotel,75,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,Transient,105.5,0,0,Canceled
11,Resort Hotel,23,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,0,Transient,123,0,0,Canceled
12,Resort Hotel,35,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,0,Transient,145,0,0,Check-Out
13,Resort Hotel,68,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,0,Transient,97,0,3,Check-Out
14,Resort Hotel,18,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,0,Transient,154.77,0,1,Booking-Changed
15,Resort Hotel,37,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,0,Transient,94.71,0,0,Check-Out
16,Resort Hotel,68,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,0,Transient,97,0,3,Check-Out
22,Resort Hotel,72,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,0,Transient,84.67,0,1,Booking-Changed
23,Resort Hotel,72,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,0,Transient,84.67,0,1,Booking-Changed
24,Resort Hotel,72,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,0,Transient,99.67,0,1,Booking-Changed
28,Resort Hotel,60,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,0,Transient,107,0,2,Canceled
31,Resort Hotel,118,July,27,1,4,10,1,0,0,BB,NULL,Direct,Direct,0,0,0,A,A,2,0,Transient,62,0,2,Booking-Changed
33,Resort Hotel,96,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,0,Transient,108.3,0,2,Canceled
35,Resort Hotel,45,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,0,Transient,108.8,0,1,Canceled
36,Resort Hotel,40,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,0,Transient,108.8,0,1,Canceled
39,Resort Hotel,43,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,0,Transient,108.8,0,0,Canceled
41,Resort Hotel,45,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,0,Transient,117.81,0,0,Canceled
46,Resort Hotel,47,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,0,Transient,153,0,0,Canceled
49,Resort Hotel,90,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,0,Contract,82.35,0,0,Booking-Changed
50,Resort Hotel,50,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,0,Transient,119.35,0,1,Booking-Changed
84,Resort Hotel,81,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,0,Transient,124,0,1,Booking-Changed
